order_id,customer,order_amount,order_date,payment_method,status
ORD1088,Jacob Dube,16653.61,2026-08-06,card,paid
ORD1001,Oni Kannan,3824.4,2026-08-30,UPI,paid
ORD1081,Ansh Luthra,7417.8,2026-08-13,UPI,paid
ORD1043,Jeet Mital,15358.26,2026-08-18,wallet,paid
ORD1083,Arunima Golla,3320.7,2026-08-11,UPI,pending
ORD1057,Noah Sibal,2978.62,2026-08-01,card,paid
ORD1062,Ishwar Gade,5255.87,2026-08-15,wallet,paid
ORD1020,Nirja Sibal,2607.28,2026-08-23,UPI,paid
ORD1037,Praneel Natarajan,9026.85,2026-08-22,UPI,paid
ORD1047,Wahab Mukherjee,17635.08,2026-08-08,netbanking,paid
ORD1066,Veda Shroff,6292.36,2026-08-27,card,partially_refunded
ORD1091,Warhi Bansal,21195.69,2026-08-25,card,paid
ORD1035,Joshua Barman,1545.46,2026-09-02,UPI,paid
ORD1084,Vyanjana Chand,3413.71,2026-08-12,card,paid
ORD1087,Bhavna Sarma,21075.01,2026-08-19,netbanking,paid
ORD1064,Idika Walia,5010.67,2026-08-19,card,paid
ORD1034,Aditya Choudhury,5557.55,2026-08-30,UPI,paid
ORD1005,Janya Gaba,8506.43,2026-08-12,UPI,paid
ORD1023,Vasana Kala,2618.36,2026-08-22,UPI,paid
ORD1058,Fiyaz Sangha,1129.03,2026-08-22,wallet,paid
ORD1013,Kashvi Edwin,8136.18,2026-08-05,UPI,paid
ORD1053,Lakshit Dora,6578.47,2026-08-13,wallet,paid
ORD1074,Jonathan Swaminathan,6049.69,2026-08-18,UPI,paid
ORD1032,Hemal Jani,11225.84,2026-08-17,UPI,paid
ORD1073,Utkarsh Patel,7605.77,2026-09-02,UPI,paid
ORD1019,Urvashi Kibe,6910.47,2026-08-08,UPI,paid
ORD1017,Ansh Karpe,14781.28,2026-08-07,UPI,paid
ORD1016,Devika Rastogi,878.2,2026-08-27,UPI,paid
ORD1078,Sarthak Kakar,1638.92,2026-08-06,UPI,paid
ORD1076,Max Dixit,8587.75,2026-09-01,UPI,paid
ORD1046,Yasti Solanki,6821.04,2026-09-03,wallet,paid
ORD1008,Xalak Randhawa,10532.46,2026-08-24,UPI,paid
ORD1052,William Maharaj,18613.81,2026-08-10,card,paid
ORD1007,Veer Balay,12179.57,2026-09-03,UPI,paid
ORD1050,Kiaan Shetty,15433.77,2026-08-30,wallet,paid
ORD1063,Rushil Borra,8178.37,2026-08-09,card,paid
ORD1078,Sarthak Kakar,1638.92,2026-08-06,UPI,paid
ORD1033,Chaitanya Aggarwal,11255.8,2026-08-21,UPI,paid
ORD1069,Vrinda Khosla,10145.81,2026-08-28,netbanking,partially_refunded
ORD1014,Damyanti Khatri,1366.24,2026-08-25,UPI,paid
ORD1077,Lajita Seshadri,6914.52,2026-08-27,UPI,paid
ORD1006,Yash Gade,3462.52,2026-08-16,UPI,paid
ORD1082,Parth Singhal,11194.72,2026-08-04,UPI,pending
ORD1077,Lajita Seshadri,6914.52,2026-08-27,UPI,paid
ORD1009,Priya Rastogi,2501.1,2026-08-04,UPI,paid
ORD1061,Jonathan Solanki,1403.61,2026-08-08,netbanking,paid
ORD1071,Sudiksha Madan,9037.14,2026-08-04,netbanking,partially_refunded
ORD1031,Hemang Desai,2314.5,2026-08-30,UPI,paid
ORD1024,Bhavika Sampath,14844.95,2026-08-14,UPI,paid
ORD1044,Rehaan Salvi,6319.67,2026-08-14,wallet,paid
ORD1045,Bhavini Kade,7791.32,2026-08-29,card,paid
ORD1012,Adya Tella,12145.5,2026-08-11,UPI,paid
ORD1086,Jack Raval,22822.74,2026-08-27,netbanking,paid
ORD1040,Ayaan D’Alia,14554.08,2026-08-13,wallet,paid
ORD1092,Hamsini Rao,4931.25,2026-08-04,netbanking,paid
ORD1029,Harish Borah,3346.87,2026-08-19,UPI,paid
ORD1004,Rehaan Boase,1586.69,2026-08-27,UPI,paid
ORD1049,Hredhaan Sandal,14772.2,2026-08-08,card,paid
ORD1054,Ojasvi Bhatia,18042.47,2026-08-20,netbanking,paid
ORD1067,Ucchal Raghavan,2860.27,2026-08-12,wallet,partially_refunded
ORD1068,Harini Mammen,18600.97,2026-08-24,card,partially_refunded
ORD1015,Kabir Soman,8744.81,2026-08-12,UPI,paid
ORD1002,Harini Mall,10215.15,2026-08-06,UPI,paid
