order_id,customer,order_amount,order_date,payment_method,status
ORD1005,Brijesh Dhar,3255.0,2026-08-18,card,paid
ORD1028,Qabil Sen,5451.77,2026-08-07,card,paid
ORD1011,Pallavi Mand,15808.34,2026-08-20,wallet,partially_refunded
ORD1017,Varsha Sankaran,5382.0,2026-08-04,UPI,paid
ORD1020,Mitesh Sule,3185.14,2026-08-04,UPI,paid
ORD1014,Gaurika Bansal,5823.5,2026-08-13,netbanking,partially_refunded
ORD1001,Rayaan Dhaliwal,7863.43,2026-08-13,UPI,paid
ORD1013,Abhiram Brahmbhatt,19709.86,2026-08-22,netbanking,partially_refunded
ORD1021,Kabir Toor,4948.0,2026-08-12,UPI,paid
ORD1019,Lohit Malhotra,5738.62,2026-08-16,UPI,paid
ORD1030,Vaishnavi Muni,3780.43,2026-08-28,card,paid
ORD1020,Mitesh Sule,3185.14,2026-08-04,UPI,paid
ORD1024,Vinaya Narang,8287.04,2026-08-19,wallet,paid
ORD1003,Lila Choudhary,515.83,2026-08-14,UPI,paid
ORD1018,Ishani Sarraf,9490.76,2026-08-13,UPI,paid
ORD1016,Lohit Sule,9865.93,2026-08-31,UPI,paid
ORD1032,Tripti Dash,2831.98,2026-08-16,netbanking,paid
ORD1026,Tejas Arya,4497.5,2026-08-23,wallet,paid
ORD1006,Brijesh Magar,8463.74,2026-08-26,netbanking,paid
ORD1033,Alexander Shetty,7654.19,2026-08-29,netbanking,paid
ORD1004,Ronith Sahota,10874.8,2026-08-29,card,paid
ORD1000,Krish Randhawa,1494.21,2026-08-22,UPI,paid
ORD1008,Jeremiah Karan,1173.26,2026-08-21,netbanking,paid
ORD1027,Warhi Purohit,6122.13,2026-08-21,UPI,paid
ORD1012,Janani Vala,10931.37,2026-08-21,wallet,partially_refunded
ORD1007,Rachit Chada,4274.09,2026-08-03,wallet,paid
ORD1029,Yagnesh Gara,2333.79,2026-08-07,netbanking,paid
ORD1017,Varsha Sankaran,5382.0,2026-08-04,UPI,paid
ORD1015,Widisha Atwal,7731.93,2026-08-29,card,partially_refunded
ORD1002,Harinakshi Joshi,5124.51,2026-08-22,UPI,paid
ORD1019,Lohit Malhotra,5738.62,2026-08-16,UPI,paid
ORD1016,Lohit Sule,9865.93,2026-08-31,UPI,paid
ORD1009,Gopal Chana,11885.47,2026-08-05,UPI,paid
ORD1025,Abha Khosla,2649.29,2026-08-21,wallet,paid
ORD1031,Simon Mukhopadhyay,2142.87,2026-08-22,card,paid
ORD1023,Yashodhara Lad,5579.57,2026-08-11,UPI,paid
ORD1021,Kabir Toor,4948.0,2026-08-12,UPI,paid
ORD1010,Tamanna Varkey,4082.39,2026-08-17,wallet,partially_refunded
ORD1018,Ishani Sarraf,9490.76,2026-08-13,UPI,paid
ORD1022,Mitesh Chandra,5015.7,2026-08-09,wallet,pending
