order_id,customer,order_amount,order_date,payment_method,status
ORD1060,Wahab Boase,1242.39,2026-08-10,UPI,paid
ORD1055,Pallavi Tandon,605.97,2026-08-04,UPI,paid
ORD1064,Arjun Deo,6622.38,2026-08-15,UPI,paid
ORD1018,Krishna Kanda,2695.37,2026-08-17,UPI,paid
ORD1013,Amara Bassi,7978.86,2026-08-27,UPI,paid
ORD1063,Abhiram Om,4802.21,2026-08-19,UPI,paid
ORD1066,Anya Sahni,3582.3,2026-08-31,UPI,paid
ORD1026,Ranbir Naik,10937.45,2026-09-03,netbanking,paid
ORD1020,Pranav Comar,7375.8,2026-08-29,UPI,paid
ORD1040,Ira Padmanabhan,7155.1,2026-08-04,card,paid
ORD1016,Neha Nadkarni,11848.79,2026-08-11,UPI,paid
ORD1051,Chanchal Barad,18523.49,2026-08-17,netbanking,partially_refunded
ORD1050,Veer Acharya,18369.07,2026-08-28,wallet,partially_refunded
ORD1041,Amara Chaudhari,4209.83,2026-08-08,netbanking,paid
ORD1008,Krisha Baral,4346.75,2026-08-04,UPI,paid
ORD1059,Keya Kaur,1646.41,2026-08-20,UPI,paid
ORD1073,Dipta Gill,2206.1,2026-08-18,wallet,pending
ORD1054,Noah Saxena,3712.0,2026-08-13,wallet,partially_refunded
ORD1065,Aishani Vohra,1152.53,2026-08-08,UPI,paid
ORD1049,Banjeet Pillay,19911.87,2026-08-19,wallet,partially_refunded
ORD1004,Ekbal Tak,3996.78,2026-08-17,UPI,paid
ORD1006,Raagini Agate,2244.34,2026-08-25,UPI,paid
ORD1059,Keya Kaur,1646.41,2026-08-20,UPI,paid
ORD1003,Zayan Vora,6263.7,2026-08-09,UPI,paid
ORD1035,Yachana Kadakia,10760.83,2026-08-12,netbanking,paid
ORD1007,Yoshita Agrawal,12371.94,2026-08-13,UPI,paid
ORD1085,Indali Sarna,14311.25,2026-08-22,netbanking,paid
ORD1067,Oscar Goswami,10602.51,2026-08-07,card,pending
ORD1082,Madhav Randhawa,3829.81,2026-08-16,netbanking,paid
ORD1062,Sarthak Chaudhari,5387.89,2026-08-26,UPI,paid
ORD1074,Dhruv Kapur,3577.98,2026-08-16,card,paid
ORD1057,Ijaya Prasad,4811.6,2026-08-16,UPI,paid
