order_id,customer,order_amount,order_date,payment_method,status
ORD1019,Bhavya Nazareth,14963.89,2026-08-27,UPI,paid
ORD1009,Idika Sawhney,6814.62,2026-08-07,UPI,paid
ORD1033,Mohammed Khatri,10620.41,2026-08-04,card,paid
ORD1036,Oviya Varma,8831.78,2026-08-12,card,partially_refunded
ORD1032,Irya Suresh,1484.6,2026-08-11,UPI,paid
ORD1041,Chakrika Koshy,11722.24,2026-08-18,netbanking,partially_refunded
ORD1049,Sanya Comar,3758.72,2026-08-05,card,paid
ORD1012,Urishilla Gera,772.58,2026-08-26,UPI,paid
ORD1050,Harrison Sagar,442.23,2026-08-12,UPI,paid
ORD1027,Aayush Bhavsar,6394.48,2026-08-14,wallet,paid
ORD1045,Bishakha Sundaram,2887.23,2026-08-04,UPI,paid
ORD1035,Dev Pandey,6412.28,2026-08-08,netbanking,paid
ORD1045,Bishakha Sundaram,2887.23,2026-08-04,UPI,paid
ORD1038,Charles Narayan,4283.0,2026-08-14,wallet,partially_refunded
ORD1029,David Iyengar,9074.37,2026-08-06,card,paid
ORD1034,Frado Mall,6106.76,2026-08-29,card,paid
ORD1042,Dayamai Som,1951.33,2026-08-28,UPI,paid
ORD1013,Anmol Basak,2816.55,2026-08-05,UPI,paid
ORD1017,Urvashi Oak,13447.45,2026-08-23,UPI,paid
ORD1010,Agastya Bhatia,4209.46,2026-09-02,UPI,paid
ORD1030,Janaki Shetty,4359.44,2026-08-09,netbanking,paid
ORD1001,Neelima Narain,6259.68,2026-08-28,UPI,paid
ORD1007,Faris Thaman,2100.47,2026-08-20,UPI,paid
ORD1022,Nitara Pal,8482.62,2026-08-27,netbanking,paid
ORD1046,Nidhi Chhabra,6535.07,2026-08-25,UPI,paid
ORD1054,Anika Oommen,17153.7,2026-08-08,card,paid
ORD1040,Ranveer Chaudhuri,6947.06,2026-08-07,wallet,partially_refunded
ORD1025,Januja Sant,19602.94,2026-08-31,wallet,paid
ORD1008,Chasmum Dave,7930.71,2026-08-10,UPI,paid
ORD1028,Hemal Venkataraman,4109.53,2026-08-17,wallet,paid
ORD1006,Nimrat Dugar,13058.82,2026-08-24,UPI,paid
ORD1018,Rishi Hora,4621.23,2026-08-24,UPI,paid
ORD1021,Bhanumati Lalla,8134.86,2026-08-10,netbanking,paid
ORD1024,Gaurangi Mukherjee,2077.72,2026-08-13,card,paid
ORD1020,Ekaja Dewan,11581.14,2026-08-15,UPI,paid
ORD1003,Balvan Rai,6751.41,2026-08-20,UPI,paid
ORD1039,Krish Lad,11524.78,2026-08-16,card,partially_refunded
ORD1047,Naksh Bajaj,2737.92,2026-08-05,UPI,paid
ORD1005,Ikshita Bhandari,3714.11,2026-08-14,UPI,paid
ORD1004,Rudra Sarin,13507.19,2026-08-24,UPI,paid
ORD1000,Saanvi Seth,11505.45,2026-08-14,UPI,paid
ORD1044,Inaya Gokhale,5211.25,2026-08-17,UPI,paid
ORD1031,Wakeeta Kumer,9044.97,2026-08-25,UPI,paid
ORD1016,Jagdish Mallick,6648.68,2026-08-27,UPI,paid
ORD1037,Wriddhish Rajan,10492.29,2026-08-22,netbanking,partially_refunded
ORD1026,Jyoti Kant,3792.93,2026-08-07,wallet,paid
ORD1015,Warhi Rajagopalan,10400.95,2026-08-14,UPI,paid
ORD1044,Inaya Gokhale,5211.25,2026-08-17,UPI,paid
ORD1002,Yuvraj Kumar,10215.16,2026-09-02,UPI,paid
ORD1051,Oliver Sant,9755.78,2026-08-25,netbanking,paid
ORD1011,Samesh Sachar,13064.16,2026-08-10,UPI,paid
ORD1043,Charles Sami,6224.05,2026-08-17,UPI,paid
ORD1042,Dayamai Som,1951.33,2026-08-28,UPI,paid
ORD1053,Amol Mukherjee,9357.58,2026-08-17,netbanking,paid
ORD1048,Yutika Sekhon,8264.84,2026-08-08,card,pending
ORD1052,Dayamai Grover,2330.0,2026-08-05,netbanking,paid
ORD1046,Nidhi Chhabra,6535.07,2026-08-25,UPI,paid
ORD1043,Charles Sami,6224.05,2026-08-17,UPI,paid
ORD1014,Maya Sura,2046.69,2026-08-30,UPI,paid
ORD1023,Samuel Bahl,2666.09,2026-08-28,netbanking,paid
