order_id,customer,order_amount,order_date,payment_method,status
ORD1002,Sathvik Bhatnagar,9110.23,2026-08-05,UPI,paid
ORD1016,Aadhya Khosla,2346.65,2026-08-09,wallet,paid
ORD1025,Ladli Doshi,8466.47,2026-08-31,UPI,paid
ORD1012,Gayathri Khare,10038.91,2026-08-06,UPI,paid
ORD1026,Nikita Dora,8026.22,2026-08-30,UPI,paid
ORD1013,Kiaan Mani,6040.72,2026-08-22,UPI,paid
ORD1026,Nikita Dora,8026.22,2026-08-30,UPI,paid
ORD1001,Sai Yogi,7113.65,2026-08-13,UPI,paid
ORD1003,Amara Rana,7384.86,2026-08-09,UPI,paid
ORD1020,Manan Singh,8312.95,2026-08-06,UPI,paid
ORD1011,Yash Chandran,9853.71,2026-08-15,UPI,paid
ORD1023,Indrajit Baria,13985.67,2026-08-27,wallet,partially_refunded
ORD1014,Tarak Divan,6459.91,2026-08-22,UPI,paid
ORD1024,Darpan Dada,11937.83,2026-08-07,card,partially_refunded
ORD1005,Mitesh Banerjee,3977.58,2026-08-29,UPI,paid
ORD1009,Ekansh Bhasin,6450.07,2026-09-01,UPI,paid
ORD1004,Ucchal Kalita,5069.75,2026-08-20,UPI,paid
ORD1000,Tristan Mani,8801.05,2026-08-28,UPI,paid
ORD1019,Balendra Lata,5916.01,2026-08-10,card,paid
ORD1027,Rayaan Narayan,11706.21,2026-09-01,card,pending
ORD1022,Henry Wable,10458.48,2026-08-24,wallet,paid
ORD1018,Agastya Sabharwal,16477.92,2026-09-02,wallet,paid
ORD1017,Reva Sarna,14239.61,2026-09-03,netbanking,paid
ORD1006,Vaishnavi Ganesan,6789.13,2026-08-17,UPI,paid
ORD1021,Vincent Handa,2246.07,2026-08-02,UPI,paid
ORD1015,Janya Varghese,296.48,2026-08-20,UPI,paid
ORD1008,Logan Gola,3734.54,2026-08-09,UPI,paid
ORD1028,Christopher Setty,9763.8,2026-08-12,netbanking,paid
ORD1007,Dominic Balay,3035.85,2026-08-09,UPI,paid
ORD1010,Gautam Mammen,7122.19,2026-08-28,UPI,paid
ORD1025,Ladli Doshi,8466.47,2026-08-31,UPI,paid
